"filename", "language", "JavaScript", "vue", "CSS", "comment", "blank", "total"
"c:\Users\osama\Desktop\smm_frontend\src\App.vue", "vue", 0, 17, 0, 0, 4, 21
"c:\Users\osama\Desktop\smm_frontend\src\chartsConfig\chartConfig.js", "JavaScript", 15, 0, 0, 0, 1, 16
"c:\Users\osama\Desktop\smm_frontend\src\components\CorrectMessage.vue", "vue", 0, 56, 0, 1, 5, 62
"c:\Users\osama\Desktop\smm_frontend\src\components\EmptyButton.vue", "vue", 0, 44, 0, 1, 5, 50
"c:\Users\osama\Desktop\smm_frontend\src\components\ErrorMessage.vue", "vue", 0, 65, 0, 1, 6, 72
"c:\Users\osama\Desktop\smm_frontend\src\components\FormField.vue", "vue", 0, 118, 0, 0, 13, 131
"c:\Users\osama\Desktop\smm_frontend\src\components\MainButton.vue", "vue", 0, 46, 0, 1, 6, 53
"c:\Users\osama\Desktop\smm_frontend\src\components\RegistrationForm.vue", "vue", 0, 311, 0, 0, 43, 354
"c:\Users\osama\Desktop\smm_frontend\src\components\SideNav.vue", "vue", 0, 118, 0, 1, 11, 130
"c:\Users\osama\Desktop\smm_frontend\src\const.js", "JavaScript", 4, 0, 0, 0, 0, 4
"c:\Users\osama\Desktop\smm_frontend\src\graphql\mutations.js", "JavaScript", 155, 0, 0, 0, 10, 165
"c:\Users\osama\Desktop\smm_frontend\src\graphql\queries.js", "JavaScript", 132, 0, 0, 0, 6, 138
"c:\Users\osama\Desktop\smm_frontend\src\main.js", "JavaScript", 43, 0, 0, 0, 9, 52
"c:\Users\osama\Desktop\smm_frontend\src\router\index.js", "JavaScript", 55, 0, 0, 9, 3, 67
"c:\Users\osama\Desktop\smm_frontend\src\style.css", "CSS", 0, 0, 14, 0, 3, 17
"c:\Users\osama\Desktop\smm_frontend\src\style\theme.css", "CSS", 0, 0, 6, 0, 0, 6
"c:\Users\osama\Desktop\smm_frontend\src\utils\fixed.js", "JavaScript", 21, 0, 0, 0, 1, 22
"c:\Users\osama\Desktop\smm_frontend\src\utils\utils.js", "JavaScript", 34, 0, 0, 3, 5, 42
"c:\Users\osama\Desktop\smm_frontend\src\views\BuyChars.vue", "vue", 0, 474, 0, 0, 46, 520
"c:\Users\osama\Desktop\smm_frontend\src\views\HomeSmm.vue", "vue", 0, 142, 0, 0, 21, 163
"c:\Users\osama\Desktop\smm_frontend\src\views\MainPage.vue", "vue", 0, 187, 0, 0, 28, 215
"c:\Users\osama\Desktop\smm_frontend\src\views\NewSqueal.vue", "vue", 0, 1031, 0, 0, 122, 1153
"c:\Users\osama\Desktop\smm_frontend\src\views\Registration.vue", "vue", 0, 45, 0, 0, 7, 52
"c:\Users\osama\Desktop\smm_frontend\src\views\UserActivity.vue", "vue", 0, 675, 0, 0, 76, 751
"c:\Users\osama\Desktop\smm_frontend\src\views\UserNotifications.vue", "vue", 0, 286, 0, 0, 34, 320
"c:\Users\osama\Desktop\smm_frontend\src\views\UserStats.vue", "vue", 0, 368, 0, 0, 26, 394
"Total", "-", 459, 3983, 20, 17, 491, 4970
